Date,Close,Volume,Open,High,Low
2024-03-25,172.63,74228620,168.76,175.24,168.73
2024-03-26,177.67,113186200,178.58,184.25,177.38
2024-03-27,179.83,81804040,181.41,181.91,176.0
2024-03-28,175.79,77654840,177.45,179.57,175.3
2024-04-01,175.22,81562130,176.17,176.75,170.21
2024-04-02,166.63,116650600,164.75,167.69,163.43
2024-04-03,168.38,82950140,164.02,168.82,163.28
2024-04-04,171.11,123162000,170.07,177.19,168.01
2024-04-05,164.9,143157600,169.08,170.86,160.51
2024-04-08,172.98,104423300,169.34,174.5,167.79
2024-04-09,176.88,103232700,172.91,179.22,171.92
2024-04-10,171.76,84532410,173.04,174.93,170.01
2024-04-11,174.6,94515990,172.55,175.88,168.51
2024-04-12,171.05,64722670,172.34,173.8099,170.3644
2024-04-15,161.48,100245300,170.24,170.69,161.38
2024-04-16,157.11,96999960,156.742,158.19,153.75
2024-04-17,155.45,82439720,157.64,158.33,153.78
2024-04-18,149.93,96098830,151.25,152.2,148.7
2024-04-19,147.05,87074500,148.97,150.94,146.22
2024-04-22,142.05,107097600,140.56,144.44,138.8025
2024-04-23,144.68,124545100,143.33,147.26,141.11
2024-04-24,162.13,181178000,162.84,167.97,157.51
2024-04-25,170.18,126427500,158.96,170.88,158.36
2024-04-26,168.29,109815700,168.85,172.12,166.37
2024-04-29,194.05,243869700,188.42,198.87,184.54
2024-04-30,183.28,127031800,186.98,190.95,182.8401
2024-05-01,179.99,92829720,182.0,185.86,179.01
2024-05-02,180.01,89148040,182.86,184.6,176.02
2024-05-03,181.19,75491540,182.1,184.78,178.42
2024-05-06,184.76,84390250,183.8,187.56,182.2
2024-05-07,177.81,75045850,182.4,183.26,177.4
2024-05-08,174.72,79969490,171.59,176.06,170.15
2024-05-09,171.97,65950290,175.01,175.62,171.37
2024-05-10,168.47,72627180,173.05,173.0599,167.75
2024-05-13,171.89,67018900,170.0,175.4,169.0
2024-05-14,177.55,86407420,174.496,179.49,174.07
2024-05-15,173.99,79662990,179.9,180.0,173.11
2024-05-16,174.84,59812220,174.1,175.79,171.43
2024-05-17,177.46,77445850,173.55,179.63,172.75
2024-05-20,174.95,61727430,177.56,177.754,173.52
2024-05-21,186.6,115266500,175.51,186.875,174.71
2024-05-22,180.11,88313480,182.85,183.8,178.12
2024-05-23,173.74,71975500,181.8,181.9,173.26
2024-05-24,179.24,65584480,174.835,180.08,173.73
2024-05-28,176.75,59736620,176.4,178.25,173.16
2024-05-29,176.19,54782650,174.19,178.15,173.93
2024-05-30,178.79,77784760,178.575,182.67,175.38
2024-05-31,178.08,67314600,178.5,180.32,173.82
2024-06-03,176.29,68568920,178.13,182.6389,174.49
2024-06-04,174.77,60056340,174.775,177.755,174.0
2024-06-05,175.0,57953760,175.35,176.15,172.13
2024-06-06,177.94,69887020,174.6,179.73,172.73
2024-06-07,177.48,56244930,176.13,179.35,175.58
2024-06-10,173.79,50869680,176.06,178.57,173.17
2024-06-11,170.66,64761930,173.92,174.75,167.41
2024-06-12,177.29,90389450,171.12,180.55,169.8
2024-06-13,182.47,118984100,188.39,191.08,181.23
2024-06-14,178.01,82038190,185.8,186.0,176.92
2024-06-17,187.44,109786100,177.92,188.81,177.0
2024-06-18,184.86,68982270,186.56,187.2,182.37
2024-06-20,181.57,55893140,184.68,185.21,179.66
2024-06-21,183.01,63029480,182.3,183.95,180.69
2024-06-24,182.58,61992070,184.97,188.8,182.55
2024-06-25,187.35,63678270,184.4,187.97,182.01
2024-06-26,196.37,95737070,186.54,197.755,186.36
2024-06-27,197.42,72746520,195.17,198.72,194.05
2024-06-28,197.88,95438070,199.55,203.2,195.26
2024-07-01,209.86,135691400,201.02,213.23,200.85
2024-07-02,231.26,205047900,218.89,231.3,218.06
2024-07-03,246.39,166561500,234.56,248.35,234.25
2024-07-05,251.52,154501200,249.81,252.37,242.4601
2024-07-08,252.94,157219600,247.71,259.439,244.57
2024-07-09,262.33,160742500,251.0,265.61,250.3
2024-07-10,263.26,128519400,262.8,267.59,257.86
2024-07-11,241.03,221707300,263.3,271.0,239.65
2024-07-12,248.23,155955800,235.8,251.84,233.0912
2024-07-15,252.64,146912900,255.97,265.6,251.73
2024-07-16,256.56,126332500,255.31,258.62,245.8001
2024-07-17,248.5,115584800,252.73,258.47,246.182
2024-07-18,249.23,110869000,251.09,257.14,247.2
2024-07-19,239.2,87403900,247.79,249.44,236.83
2024-07-22,251.51,101225400,244.21,253.21,243.75
2024-07-23,246.38,111928200,253.6,255.7594,245.63
2024-07-24,215.99,167942900,225.42,225.99,214.71
2024-07-25,220.25,100636500,216.8,226.0,216.231
2024-07-26,219.8,94604150,221.19,222.2799,215.33
2024-07-29,232.1,129201800,224.9,234.27,224.7
2024-07-30,222.62,100560300,232.25,232.41,220.0
2024-07-31,232.07,67497010,227.9,234.68,226.7875
2024-08-01,216.86,83861900,227.69,231.867,214.3328
2024-08-02,207.67,82880120,214.88,216.13,205.78
2024-08-05,198.88,100308800,185.22,203.8799,182.0
2024-08-06,200.64,73783940,200.75,202.9,192.67
2024-08-07,191.76,71159780,200.77,203.49,191.48
2024-08-08,198.84,65033870,195.7,200.7,192.04
2024-08-09,200.0,58648270,197.05,200.88,195.11
2024-08-12,197.49,64044900,199.02,199.26,194.67
2024-08-13,207.83,76247390,198.47,208.49,197.06
2024-08-14,201.38,70250010,207.39,208.44,198.75
2024-08-15,214.14,89848530,205.02,215.88,204.82
2024-08-16,216.12,88765120,211.15,219.8,210.8
2024-08-19,222.72,76435220,217.07,222.98,214.09
2024-08-20,221.1,74001180,224.88,228.22,219.56
2024-08-21,223.27,70145960,222.67,224.6594,218.86
2024-08-22,210.66,79514480,223.82,224.8,210.32
2024-08-23,220.32,81525210,214.455,221.48,214.21
2024-08-26,213.21,59301190,218.75,219.09,211.01
2024-08-27,209.21,62821390,213.25,215.66,206.94
2024-08-28,205.75,64116350,209.72,211.84,202.59
2024-08-29,206.28,62308820,209.8,214.89,205.97
2024-08-30,214.11,63370610,208.63,214.5701,207.03
2024-09-03,210.6,76714220,215.26,219.9043,209.64
2024-09-04,219.41,80651770,210.59,222.22,210.57
2024-09-05,230.17,119355000,223.49,235.0,222.25
2024-09-06,210.73,112177000,232.6,233.6,210.51
2024-09-09,216.27,67443520,216.2,219.87,213.67
2024-09-10,226.17,78891140,220.07,226.4,218.6377
2024-09-11,228.13,83548630,224.55,228.47,216.8003
2024-09-12,229.81,72020040,224.66,231.45,223.83
2024-09-13,230.29,59515110,228.0,232.67,226.32
2024-09-16,226.78,54323000,229.3,229.96,223.53
2024-09-17,227.87,66761640,229.45,234.57,226.5533
2024-09-18,227.2,78010200,230.09,235.68,226.88
2024-09-19,243.92,102694600,234.0,244.24,232.13
2024-09-20,238.25,99879070,241.52,243.99,235.92
2024-09-23,250.0,86927190,242.61,250.0,241.92
2024-09-24,254.27,88491000,254.08,257.19,249.0501
2024-09-25,257.02,65034320,252.54,257.05,252.28
2024-09-26,254.22,67142190,260.6,261.75,251.53
2024-09-27,260.46,70988070,257.375,260.6999,254.12
2024-09-30,261.63,80873380,259.04,264.86,255.77
2024-10-01,258.02,87397610,262.67,263.98,248.53
2024-10-02,249.02,93983930,247.55,251.1585,241.5
2024-10-03,240.66,80729240,244.48,249.79,237.81
2024-10-04,250.08,86726290,246.69,250.96,244.58
2024-10-07,240.83,68113270,249.0,249.83,240.7
2024-10-08,244.5,56303160,243.56,246.21,240.56
2024-10-09,241.05,66289530,243.82,247.43,239.51
2024-10-10,238.77,83087060,241.81,242.7899,232.34
2024-10-11,217.8,142628900,220.13,223.34,214.38
2024-10-14,219.16,86291920,220.13,221.91,213.74
2024-10-15,219.57,62988790,220.01,224.26,217.12
2024-10-16,221.33,49632820,221.4,222.8199,218.93
2024-10-17,220.89,50791780,221.59,222.08,217.9
2024-10-18,220.7,49611870,220.71,222.28,219.23
2024-10-21,218.85,47328990,218.9,220.48,215.726
2024-10-22,217.97,43268740,217.31,218.22,215.26
2024-10-23,213.65,80938890,217.125,218.72,212.11
2024-10-24,260.48,204491900,244.68,262.1199,242.65
2024-10-25,269.19,161611900,256.01,269.49,255.32
2024-10-28,262.51,107653600,270.0,273.536,262.24
2024-10-29,259.52,80521750,264.51,264.98,255.51
2024-10-30,257.55,53993580,258.035,263.35,255.8201
2024-10-31,249.85,66575290,257.99,259.75,249.25
2024-11-01,248.98,57544760,252.043,254.0,246.63
2024-11-04,242.84,68802350,244.56,248.9,238.88
2024-11-05,251.44,69282510,247.34,255.2799,246.2101
2024-11-06,288.53,165228700,284.67,289.59,275.62
2024-11-07,296.91,117309200,288.89,299.75,285.52
2024-11-08,321.22,204782800,299.14,328.71,297.66
2024-11-11,350.0,210521600,346.3,358.64,336.0
2024-11-12,328.49,155726000,342.74,345.84,323.31
2024-11-13,330.24,125405600,335.85,344.5999,322.5
2024-11-14,311.18,120726100,327.69,329.98,310.37
2024-11-15,320.72,114440300,310.57,324.6799,309.22
2024-11-18,338.74,126547500,340.73,348.5499,330.01
2024-11-19,346.0,88852450,335.76,347.3799,332.75
2024-11-20,342.03,66340650,345.0,346.5999,334.3
2024-11-21,339.64,58011720,343.81,347.9899,335.28
2024-11-22,352.56,89140720,341.085,361.53,337.7
2024-11-25,338.59,95890900,360.14,361.93,338.2
2024-11-26,338.23,62295860,341.0,346.96,335.66
2024-11-27,332.89,57896440,341.8,342.55,326.59
2024-11-29,345.16,37167620,336.08,345.45,334.6501
2024-12-02,357.09,77986480,352.38,360.0,351.1501
2024-12-03,351.42,58267200,351.8,355.69,348.2
2024-12-04,357.93,50810870,353.0,358.1,348.6
2024-12-05,369.49,81403570,359.87,375.43,359.5
2024-12-06,389.22,81455830,377.42,389.49,370.8
2024-12-09,389.79,96359170,397.61,404.8,378.01
2024-12-10,400.99,97563580,392.68,409.73,390.85
2024-12-11,424.77,104287600,409.7,424.88,402.38
2024-12-12,418.1,87752230,424.84,429.3,415.0
2024-12-13,436.23,89000160,420.0,436.3,415.71
2024-12-16,463.02,114083800,441.09,463.19,436.15
2024-12-17,479.86,131223000,475.9,483.99,457.5101
2024-12-18,440.13,149340800,466.495,488.5399,427.01
2024-12-19,436.17,118566100,451.88,456.36,420.02
2024-12-20,421.06,132216200,425.505,447.08,417.64
2024-12-23,430.6,72698060,431.0,434.51,415.4112
2024-12-24,462.28,59551750,435.9,462.78,435.14
2024-12-26,454.13,76651210,465.16,465.3299,451.02
2024-12-27,431.66,82666820,449.52,450.0,426.5
2024-12-30,417.41,64941010,419.4,427.0,415.75
2024-12-31,403.84,76825120,423.79,427.93,402.54
2025-01-02,379.28,109710700,390.1,392.7299,373.04
2025-01-03,410.44,95423330,381.48,411.8799,379.45
2025-01-06,411.05,85516530,423.2,426.43,401.7
2025-01-07,394.36,75699530,405.83,414.33,390.0
2025-01-08,394.94,73038810,392.95,402.4999,387.4
2025-01-10,394.74,62287330,391.4,399.28,377.29
2025-01-13,403.31,67580490,383.21,403.79,380.07
2025-01-14,396.36,84565020,414.34,422.64,394.54
2025-01-15,428.22,81375460,409.9,429.8,405.661
2025-01-16,413.82,68335150,423.49,424.0,409.13
2025-01-17,426.5,94991430,421.5,439.74,419.75
2025-01-21,424.07,87320890,432.64,433.2,406.31
2025-01-22,415.11,60963340,416.81,428.0,414.59
2025-01-23,412.38,50690590,416.06,420.73,408.95
2025-01-24,406.58,56427150,414.45,418.88,405.78
2025-01-27,397.15,58125510,394.8,406.69,389.0
2025-01-28,398.09,48910680,396.91,400.59,386.5
2025-01-29,389.1,68033650,395.21,398.5899,384.48
2025-01-30,400.28,98092880,410.78,412.5,384.41
2025-01-31,404.6,83568220,401.53,419.99,401.34
2025-02-03,383.68,93732120,386.68,389.17,374.36
2025-02-04,392.21,57072240,382.63,394.0,381.4
2025-02-05,378.17,57614720,387.51,388.39,375.53
2025-02-06,374.32,77918230,373.03,375.4,363.18
2025-02-07,361.62,70298260,370.19,380.5459,360.34
2025-02-10,350.73,77514900,356.21,362.7,350.51
2025-02-11,328.5,118543400,345.8,349.37,325.1
2025-02-12,336.51,105382700,329.94,346.4,329.12
2025-02-13,355.94,89441520,345.0,358.69,342.85
2025-02-14,355.84,68277280,360.62,362.0,347.5
2025-02-18,354.11,51631700,355.01,359.1,350.02
2025-02-19,360.56,67094370,354.0,367.34,353.67
2025-02-20,354.4,45965350,361.51,362.3,348.0
2025-02-21,337.8,74058650,353.44,354.98,334.42
2025-02-24,330.53,76052320,338.14,342.3973,324.7
2025-02-25,302.8,134228800,327.025,328.89,297.2512
2025-02-26,290.8,100118300,303.715,309.0,288.04
2025-02-27,281.95,101748200,291.16,297.23,280.88
2025-02-28,292.98,115697000,279.5,293.88,273.6
2025-03-03,284.65,115551400,300.34,303.94,277.3
2025-03-04,272.04,126706600,270.93,284.35,261.8401
2025-03-05,279.1,94042910,272.92,279.55,267.71
2025-03-06,263.45,98451570,272.06,272.65,260.02
2025-03-07,262.67,102369600,259.32,266.2499,250.73
2025-03-10,222.15,189076900,252.535,253.37,220.0
2025-03-11,230.58,174896400,225.305,237.0649,217.02
2025-03-12,248.09,142215700,247.22,251.84,241.1
2025-03-13,240.68,114813500,248.125,248.29,232.6
2025-03-14,249.98,100242300,247.31,251.58,240.73
2025-03-17,238.01,111900600,245.055,245.4,232.8
2025-03-18,225.31,111477600,228.155,230.1,222.28
2025-03-19,235.86,111993800,231.61,241.41,229.201
2025-03-20,236.26,99028270,233.345,238.0,230.0501
2025-03-21,248.71,132728700,234.985,249.52,234.55
